,Questions,Answer,question_clean
137,  What Is the Difference Between Batch Gradient Descent and Stochastic Gradient Descent?,"Batch Gradient DescentStochastic Gradient DescentThe batch gradient computes the gradient using the entire dataset.It takes time to converge because the volume of data is huge, and weights update slowly.The stochastic gradient computes the gradient using a single sample.It converges much faster than the batch gradient because it updates weight more frequently.",batch descent descent gradient gradient stochast
138,"  What is Overfitting and Underfitting, and How to Combat Them?","Overfitting occurs when the model learns the details and noise in the training data to the degree that it adversely impacts the execution of the model on new information. It is more likely to occur with nonlinear models that have more flexibility when learning a target function. An example would be if a model is looking at cars and trucks, but only recognizes trucks that have a specific box shape. It might not be able to notice a flatbed truck because there's only a particular kind of truck it saw in training. The model performs well on training data, but not in the real world.Underfitting alludes to a model that is neither well-trained on data nor can generalize to new information. This usually happens when there is less and incorrect data to train a model. Underfitting has both poor performance and accuracy.To combat overfitting and underfitting, you can resample the data to estimate the model accuracy (k-fold cross-validation) and by having a validation dataset to evaluate the model.",combat overfit underfit
139,  How Are Weights Initialized in a Network?,"There are two methods here: we can either initialize the weights to zero or assign them randomly.Initializing all weights to 0: This makes your model similar to a linear model. All the neurons and every layer perform the same operation, giving the same output and making the deep net useless.Initializing all weights randomly: Here, the weights are assigned randomly by initializing them very close to 0. It gives better accuracy to the model since every neuron performs different computations. This is the most commonly used method.Free Deep Learning for Beginners CourseMaster the Basics of Deep LearningEnroll Now",initi network weight
140,  What Are the Different Layers on CNN?,There are four layers in CNN:,cnn differ layer
141,"  What is Pooling on CNN, and How Does It Work?",Pooling is used to reduce the spatial dimensions of a CNN. It performs down-sampling operations to reduce the dimensionality and creates a pooled feature map by sliding a filter matrix over the input matrix.,cnn pool work
142,  How Does an LSTM Network Work?,"Long-Short-Term Memory (LSTM) is a special kind of recurrent neural network capable of learning long-term dependencies, remembering information for long periods as its default behavior. There are three steps in an LSTM network:",lstm network work
143,  What Are Vanishing and Exploding Gradients?,"While training an RNN, your slope can become either too small or too large; this makes the training difficult. When the slope is too small, the problem is known as a “Vanishing Gradient.” When the slope tends to grow exponentially instead of decaying, it’s referred to as an “Exploding Gradient.” Gradient problems lead to long training times, poor performance, and low accuracy.",explod gradient vanish
144,  Why is Tensorflow the Most Preferred Library in Deep Learning?,"Tensorflow provides both C++ and Python APIs, making it easier to work on and has a faster compilation time compared to other Deep Learning libraries like Keras and Torch. Tensorflow supports both CPU and GPU computing devices.",deep learn librari prefer tensorflow
145,  What Do You Mean by Tensor in Tensorflow?,This is another most frequently asked deep learning interview question. A tensor is a mathematical object represented as arrays of higher dimensions. These arrays of data with different dimensions and ranks fed as input to the neural network are called “Tensors.”,mean tensor tensorflow
146,  What Are the Programming Elements in Tensorflow?,"Constants - Constants are parameters whose value does not change. To define a constant we use  tf.constant() command. For example:a = tf.constant(2.0,tf.float32)b = tf.constant(3.0)Print(a, b)Variables - Variables allow us to add new trainable parameters to graph. To define a variable, we use the tf.Variable() command and initialize them before running the graph in a session. An example:W = tf.Variable([.3].dtype=tf.float32)b = tf.Variable([-.3].dtype=tf.float32)Placeholders - these allow us to feed data to a tensorflow model from outside a model. It permits a value to be assigned later. To define a placeholder, we use the tf.placeholder() command. An example:a = tf.placeholder (tf.float32)b = a*2with tf.Session() as sess:result = sess.run(b,feed_dict={a:3.0})print resultSessions - a session is run to evaluate the nodes. This is called the “Tensorflow runtime.” For example:a = tf.constant(2.0)b = tf.constant(4.0)c = a+b# Launch SessionSess = tf.Session()# Evaluate the tensor cprint(sess.run(c))FREE Machine Learning CourseLearn In-demand Machine Learning Skills and ToolsStart Learning",element program tensorflow
147,  Explain a Computational Graph.,"Everything in a tensorflow is based on creating a computational graph. It has a network of nodes where each node operates, Nodes represent mathematical operations, and edges represent tensors. Since data flows in the form of a graph, it is also called a “DataFlow Graph.”",comput graph
148,  Explain Generative Adversarial Network.,"Suppose there is a wine shop purchasing wine from dealers, which they resell later. But some dealers sell fake wine. In this case, the shop owner should be able to distinguish between fake and authentic wine.The forger will try different techniques to sell fake wine and make sure specific techniques go past the shop owner’s check. The shop owner would probably get some feedback from wine experts that some of the wine is not original. The owner would have to improve how he determines whether a wine is fake or authentic.The forger’s goal is to create wines that are indistinguishable from the authentic ones while the shop owner intends to tell if the wine is real or not accurately.Let us understand this example with the help of an image shown above.There is a noise vector coming into the forger who is generating fake wine.Here the forger acts as a Generator.The shop owner acts as a Discriminator.The Discriminator gets two inputs; one is the fake wine, while the other is the real authentic wine. The shop owner has to figure out whether it is real or fake.So, there are two primary components of Generative Adversarial Network (GAN) named:The generator is a CNN that keeps keys producing images and is closer in appearance to the real images while the discriminator tries to determine the difference between real and fake images The ultimate aim is to make the discriminator learn to identify real and fake images.",adversari gener network
149,  What Is an Auto-encoder?,This Neural Network has three layers in which the input neurons are equal to the output neurons. The network's target outside is the same as the input. It uses dimensionality reduction to restructure the input. It works by compressing the image input to a latent space representation then reconstructing the output from this representation.,auto encod
150,  What Is Bagging and Boosting?,"Bagging and Boosting are ensemble techniques to train multiple models using the same learning algorithm and then taking a call.With Bagging, we take a dataset and split it into training data and test data. Then we randomly select data to place into the bags and train the model separately.With Boosting, the emphasis is on selecting data points which give wrong output to improve the accuracy.",bag boost
151,  What is the difference between Machine Learning and Deep Learning?,"Machine Learning forms a subset of Artificial Intelligence, where we use statistics and algorithms to train machines with data, thereby, helping them improve with experience. Deep Learning is a part of Machine Learning, which involves mimicking the human brain in terms of structures called neurons, thereby, forming neural networks.  Machine Learning forms a subset of Artificial Intelligence, where we use statistics and algorithms to train machines with data, thereby, helping them improve with experience.Deep Learning is a part of Machine Learning, which involves mimicking the human brain in terms of structures called neurons, thereby, forming neural networks.",deep learn learn machin
152,  What is a perceptron?,"A perceptron is similar to the actual neuron in the human brain. It receives inputs from various entities and applies functions to these inputs, which transform them to be the output. A perceptron is mainly used to perform binary classification where it sees an input, computes functions based on the weights of the input, and outputs the required transformation.  A perceptron is similar to the actual neuron in the human brain. It receives inputs from various entities and applies functions to these inputs, which transform them to be the output.A perceptron is mainly used to perform binary classification where it sees an input, computes functions based on the weights of the input, and outputs the required transformation.",perceptron
153,  How is Deep Learning better than Machine Learning?,"Machine Learning is powerful in a way that it is sufficient to solve most of the problems. However, Deep Learning gets an upper hand when it comes to working with data that has a large number of dimensions. With data that is large in size, a Deep Learning model can easily work with it as it is built to handle this.  Machine Learning is powerful in a way that it is sufficient to solve most of the problems. However, Deep Learning gets an upper hand when it comes to working with data that has a large number of dimensions. With data that is large in size, a Deep Learning model can easily work with it as it is built to handle this.",better deep learn learn machin
154,  What are some of the most used applications of Deep Learning?,Deep Learning is used in a variety of fields today. The most used ones are as follows:  Sentiment Analysis Computer Vision Automatic Text Generation Object Detection Natural Language Processing Image Recognition   Deep Learning is used in a variety of fields today. The most used ones are as follows: Sentiment Analysis Computer Vision Automatic Text Generation Object Detection Natural Language Processing Image Recognition ,applic deep learn
155,  What is the meaning of overfitting?,"Overfitting is a very common issue when working with Deep Learning. It is a scenario where the Deep Learning algorithm vigorously hunts through the data to obtain some valid information. This makes the Deep Learning model pick up noise rather than useful data, causing very high variance and low bias. This makes the model less accurate, and this is an undesirable effect that can be prevented.  Overfitting is a very common issue when working with Deep Learning. It is a scenario where the Deep Learning algorithm vigorously hunts through the data to obtain some valid information.This makes the Deep Learning model pick up noise rather than useful data, causing very high variance and low bias. This makes the model less accurate, and this is an undesirable effect that can be prevented.",overfit
156,  What are activation functions?,Activation functions are entities in Deep Learning that are used to translate inputs into a usable output parameter. It is a function that decides if a neuron needs activation or not by calculating the weighted sum on it with the bias. Using an activation function makes the model output to be non-linear. There are many types of activation functions:  ReLU Softmax Sigmoid Linear Tanh  Get 50% Hike!Master Most in Demand Skills Now !                                             Activation functions are entities in Deep Learning that are used to translate inputs into a usable output parameter. It is a function that decides if a neuron needs activation or not by calculating the weighted sum on it with the bias.Using an activation function makes the model output to be non-linear. There are many types of activation functions: ReLU Softmax Sigmoid Linear Tanh Get 50% Hike!Master Most in Demand Skills Now !,activ function
157,  Why is Fourier transform used in Deep Learning?,Fourier transform is an effective package used for analyzing and managing large amounts of data present in a database. It can take in real-time array data and process it quickly. This ensures that high efficiency is maintained and also makes the model more open to processing a variety of signals.  Fourier transform is an effective package used for analyzing and managing large amounts of data present in a database. It can take in real-time array data and process it quickly. This ensures that high efficiency is maintained and also makes the model more open to processing a variety of signals.,deep fourier learn transform
158,  What are the steps involved in training a perception in Deep Learning?,There are five main steps that determine the learning of a perceptron:  Initialize thresholds and weights Provide inputs Calculate outputs Update weights in each step Repeat steps 2 to 4   There are five main steps that determine the learning of a perceptron:,deep involv learn percept step train
159,  What is the use of the loss function?,"The loss function is used as a measure of accuracy to see if a neural network has learned accurately from the training data or not. This is done by comparing the training dataset to the testing dataset. The loss function is a primary measure of the performance of the neural network. In Deep Learning, a good performing network will have a low loss function at all times when training.  The loss function is used as a measure of accuracy to see if a neural network has learned accurately from the training data or not. This is done by comparing the training dataset to the testing dataset.The loss function is a primary measure of the performance of the neural network. In Deep Learning, a good performing network will have a low loss function at all times when training.",function loss use
160,  What are some of the Deep Learning frameworks or tools that you have used?,"This question is quite common in a Deep Learning interview. Make sure to answer based on the experience you have with the tools. However, some of the top Deep Learning frameworks out there today are:  TensorFlow Keras PyTorch Caffe2 CNTK MXNet Theano  This question is quite common in a Deep Learning interview. Make sure to answer based on the experience you have with the tools.However, some of the top Deep Learning frameworks out there today are: TensorFlow Keras PyTorch Caffe2 CNTK MXNet Theano ",deep framework learn tool
161,  What is the use of the swish function?,The swish function is a self-gated activation function developed by Google. It is now a popular activation function used by many as Google claims that it outperforms all of the other activation functions in terms of computational efficiency. The swish function is a self-gated activation function developed by Google. It is now a popular activation function used by many as Google claims that it outperforms all of the other activation functions in terms of computational efficiency.,function swish use
162,  What are autoencoders?,"Autoencoders are artificial neural networks that learn without any supervision. Here, these networks have the ability to automatically learn by mapping the inputs to the corresponding outputs. Autoencoders, as the name suggests, consist of two entities:  Encoder: Used to fit the input into an internal computation state Decoder: Used to convert the computational state back into the output  Autoencoders are artificial neural networks that learn without any supervision. Here, these networks have the ability to automatically learn by mapping the inputs to the corresponding outputs.Autoencoders, as the name suggests, consist of two entities: Encoder: Used to fit the input into an internal computation state Decoder: Used to convert the computational state back into the output ",autoencod
163,  What are the steps to be followed to use the gradient descent algorithm?,There are five main steps that are used to initialize and use the gradient descent algorithm:  Initialize biases and weights for the network Send input data through the network (the input layer) Calculate the difference (the error) between expected and predicted values Change values in neurons to minimize the loss function Multiple iterations to determine the best weights for efficient working  There are five main steps that are used to initialize and use the gradient descent algorithm: Initialize biases and weights for the network Send input data through the network (the input layer) Calculate the difference (the error) between expected and predicted values Change values in neurons to minimize the loss function Multiple iterations to determine the best weights for efficient working ,descent follow gradient step use
164,  Differentiate between a single-layer perceptron and a multi-layer perceptron.,    Single-layer Perceptron Multi-layer Perceptron   Cannot classify non-linear data points Can classify non-linear data   Takes in a limited amount of parameters Withstands a lot of parameters   Less efficient with large data Highly efficient with large datasets      Career Transition                                                   Career Transition,differenti layer layer multi perceptron perceptron singl
165,  What is data normalization in Deep Learning?,Data normalization is a preprocessing step that is used to refit the data into a specific range. This ensures that the network can learn effectively as it has better convergence when performing backpropagation. Data normalization is a preprocessing step that is used to refit the data into a specific range. This ensures that the network can learn effectively as it has better convergence when performing backpropagation.,data deep learn normal
166,  What is forward propagation?,"Forward propagation is the scenario where inputs are passed to the hidden layer with weights. In every single hidden layer, the output of the activation function is calculated until the next layer can be processed. It is called forward propagation as the process begins from the input layer and moves toward the final output layer. Forward propagation is the scenario where inputs are passed to the hidden layer with weights. In every single hidden layer, the output of the activation function is calculated until the next layer can be processed. It is called forward propagation as the process begins from the input layer and moves toward the final output layer.",forward propag
167,  What is backpropagation?,"Backprobation is used to minimize the cost function by first seeing how the value changes when weights and biases are tweaked in the neural network. This change is easily calculated by understanding the gradient at every hidden layer. It is called backpropagation as the process begins from the output layer, moving backward to the input layers. Backprobation is used to minimize the cost function by first seeing how the value changes when weights and biases are tweaked in the neural network. This change is easily calculated by understanding the gradient at every hidden layer. It is called backpropagation as the process begins from the output layer, moving backward to the input layers.",backpropag
168,  What are hyperparameters in Deep Learning?,"Hyperparameters are variables used to determine the structure of a neural network. They are also used to understand parameters, such as the learning rate and the number of hidden layers, and more, present in the neural network. Hyperparameters are variables used to determine the structure of a neural network. They are also used to understand parameters, such as the learning rate and the number of hidden layers, and more, present in the neural network.",deep hyperparamet learn
169,  How can hyperparameters be trained in neural networks?,"Hyperparameters can be trained using four components as shown below:  Batch size: This is used to denote the size of the input chunk. Batch sizes can be varied and cut into sub-batches based on the requirement. Epochs: An epoch denotes the number of times the training data is visible to the neural network so that it can train. Since the process is iterative, the number of epochs will vary based on the data. Momentum: Momentum is used to understand the next consecutive steps that occur with the current data being executed at hand. It is used to avoid oscillations when training. Learning rate: Learning rate is used as a parameter to denote the time required for the network to update the parameters and learn.  Next up on this top Deep Learning interview questions and answers blog, let us take a look at the intermediate questions.  Intermediate Interview Questions Hyperparameters can be trained using four components as shown below: Batch size: This is used to denote the size of the input chunk. Batch sizes can be varied and cut into sub-batches based on the requirement. Epochs: An epoch denotes the number of times the training data is visible to the neural network so that it can train. Since the process is iterative, the number of epochs will vary based on the data. Momentum: Momentum is used to understand the next consecutive steps that occur with the current data being executed at hand. It is used to avoid oscillations when training. Learning rate: Learning rate is used as a parameter to denote the time required for the network to update the parameters and learn. Next up on this top Deep Learning interview questions and answers blog, let us take a look at the intermediate questions.",hyperparamet network neural train
170,  What is the meaning of dropout in Deep Learning?,"Dropout is a technique that is used to avoid overfitting a model in Deep Learning. If the dropout value is too low, then it will have minimal effect on learning. If it is too high, then the model can under-learn, thereby, causing lower efficiency. Dropout is a technique that is used to avoid overfitting a model in Deep Learning. If the dropout value is too low, then it will have minimal effect on learning. If it is too high, then the model can under-learn, thereby, causing lower efficiency.",deep dropout learn
171,  What are tensors?,"Tensors are multidimensional arrays in Deep Learning that are used to represent data. They represent the data with higher dimensions. Due to the high-level nature of the programming languages, the syntax of tensors is easily understood and broadly used. Tensors are multidimensional arrays in Deep Learning that are used to represent data. They represent the data with higher dimensions. Due to the high-level nature of the programming languages, the syntax of tensors is easily understood and broadly used.",tensor
172,  What is the meaning of model capacity in Deep Learning?,"In Deep Learning, model capacity refers to the capacity of the model to take in a variety of mapping functions. Higher model capacity means a large amount of information can be stored in the network. We will check out neural network interview questions alongside as it is also a vital part of Deep Learning. In Deep Learning, model capacity refers to the capacity of the model to take in a variety of mapping functions. Higher model capacity means a large amount of information can be stored in the network.We will check out neural network interview questions alongside as it is also a vital part of Deep Learning.",capac deep learn
173,  What is a Boltzmann machine?,"A Boltzmann machine is a type of recurrent neural network that uses binary decisions, alongside biases, to function. These neural networks can be hooked up together to create deep belief networks, which are very sophisticated and used to solve the most complex problems out there. A Boltzmann machine is a type of recurrent neural network that uses binary decisions, alongside biases, to function. These neural networks can be hooked up together to create deep belief networks, which are very sophisticated and used to solve the most complex problems out there.",boltzmann machin
174,  What are some of the advantages of using TensorFlow?,"TensorFlow has numerous advantages, and some of them are as follows:  High amount of flexibility and platform independence Trains using CPU and GPU Supports auto differentiation and its features Handles threads and asynchronous computation easily Open-source Has a large community   Courses you may like      TensorFlow has numerous advantages, and some of them are as follows: High amount of flexibility and platform independence Trains using CPU and GPU Supports auto differentiation and its features Handles threads and asynchronous computation easily Open-source Has a large community Courses you may like",advantag tensorflow
175,  What is a computational graph in Deep Learning?,"A computation graph is a series of operations that are performed to take inputs and arrange them as nodes in a graph structure. It can be considered as a way of implementing mathematical calculations into a graph. This helps in parallel processing and provides high performance in terms of computational capability. If you are looking forward to becoming an expert in Deep Learning, make sure to check out Intellipaat’s AI Engineer Course. A computation graph is a series of operations that are performed to take inputs and arrange them as nodes in a graph structure. It can be considered as a way of implementing mathematical calculations into a graph. This helps in parallel processing and provides high performance in terms of computational capability.If you are looking forward to becoming an expert in Deep Learning, make sure to check out Intellipaat’s AI Engineer Course.",comput deep graph learn
176,  What is a CNN?,CNNs are convolutional neural networks that are used to perform analysis on images and visuals. These classes of neural networks can input a multi-channel image and work on it easily. These Deep Learning questions must be answered in a concise way. So make sure to understand them and revisit them if necessary. CNNs are convolutional neural networks that are used to perform analysis on images and visuals. These classes of neural networks can input a multi-channel image and work on it easily.These Deep Learning questions must be answered in a concise way. So make sure to understand them and revisit them if necessary.,cnn
177,  What are the various layers present in a CNN?,There are four main layers that form a convolutional neural network:  Convolution: These are layers consisting of entities called filters that are used as parameters to train the network. ReLu: It is used as the activation function and is always used with the convolution layer. Pooling: Pooling is the concept of shrinking the complex data entities that form after convolution and is primarily used to maintain the size of an image after shrinkage. Connectedness: This is used to ensure that all of the layers in the neural network are fully connected and activation can be computed using the bias easily.  There are four main layers that form a convolutional neural network: Convolution: These are layers consisting of entities called filters that are used as parameters to train the network. ReLu: It is used as the activation function and is always used with the convolution layer. Pooling: Pooling is the concept of shrinking the complex data entities that form after convolution and is primarily used to maintain the size of an image after shrinkage. Connectedness: This is used to ensure that all of the layers in the neural network are fully connected and activation can be computed using the bias easily. ,cnn layer present variou
178,  What is an RNN in Deep Learning?,"RNNs stand for recurrent neural networks, which form to be a popular type of artificial neural network. They are used to process sequences of data, text, genomes, handwriting, and more. RNNs make use of backpropagation for the training requirements. RNNs stand for recurrent neural networks, which form to be a popular type of artificial neural network. They are used to process sequences of data, text, genomes, handwriting, and more. RNNs make use of backpropagation for the training requirements.",deep learn rnn
179,  What is a vanishing gradient when using RNNs?,"Vanishing gradient is a scenario that occurs when we use RNNs. Since RNNs make use of backpropagation, gradients at every step of the way will tend to get smaller as the network traverses through backward iterations. This equates to the model learning very slowly, thereby, causing efficiency problems in the network. Vanishing gradient is a scenario that occurs when we use RNNs. Since RNNs make use of backpropagation, gradients at every step of the way will tend to get smaller as the network traverses through backward iterations. This equates to the model learning very slowly, thereby, causing efficiency problems in the network.",gradient rnn vanish
180,  What is exploding gradient descent in Deep Learning?,Exploding gradients are an issue causing a scenario that clumps up the gradients. This creates a large number of updates of the weights in the model when training. The working of gradient descent is based on the condition that the updates are small and controlled. Controlling the updates will directly affect the efficiency of the model. Exploding gradients are an issue causing a scenario that clumps up the gradients. This creates a large number of updates of the weights in the model when training.The working of gradient descent is based on the condition that the updates are small and controlled. Controlling the updates will directly affect the efficiency of the model.,deep descent explod gradient learn
181,  What is the use of LSTM?,LSTM stands for long short-term memory. It is a type of RNN that is used to sequence a string of data. It consists of feedback chains that give it the ability to perform like a general-purpose computational entity. LSTM stands for long short-term memory. It is a type of RNN that is used to sequence a string of data. It consists of feedback chains that give it the ability to perform like a general-purpose computational entity.,lstm use
182,  Where are autoencoders used?,Autoencoders have a wide variety of usage in the real world. The following are some of the popular ones:  Adding color to black–white images Removing noise from images Dimensionality reduction Feature removal and variation  Autoencoders have a wide variety of usage in the real world. The following are some of the popular ones: Adding color to black–white images Removing noise from images Dimensionality reduction Feature removal and variation ,autoencod
183,  What are the types of autoencoders?,There are four main types of autoencoders:  Deep autoencoders Convolutional autoencoders Sparse autoencoders Contractive autoencoders  There are four main types of autoencoders: Deep autoencoders Convolutional autoencoders Sparse autoencoders Contractive autoencoders ,autoencod type
184,  What is a Restricted Boltzmann Machine?,"A Restricted Boltzmann Machine, or RBM for short, is an undirected graphical model that is popularly used in Deep Learning today. It is an algorithm that is used to perform:  Dimensionality reduction Regression Classification Collaborative filtering Topic modeling  Next up on this top Deep Learning interview questions and answers blog, let us take a look at the advanced questions.   Advanced Interview Questions A Restricted Boltzmann Machine, or RBM for short, is an undirected graphical model that is popularly used in Deep Learning today. It is an algorithm that is used to perform: Dimensionality reduction Regression Classification Collaborative filtering Topic modeling Next up on this top Deep Learning interview questions and answers blog, let us take a look at the advanced questions.",boltzmann machin restrict
185,  What are some of the limitations of Deep Learning?,There are a few disadvantages of Deep Learning as mentioned below:  Networks in Deep Learning require a huge amount of data to train well. Deep Learning concepts can be complex to implement sometimes. Achieving a high amount of model efficiency is difficult in many cases.  These are some of the vital advanced deep learning interview questions that you have to know about! There are a few disadvantages of Deep Learning as mentioned below: Networks in Deep Learning require a huge amount of data to train well. Deep Learning concepts can be complex to implement sometimes. Achieving a high amount of model efficiency is difficult in many cases. These are some of the vital advanced deep learning interview questions that you have to know about!,deep learn limit
186,  What are the variants of gradient descent?,"There are three variants of gradient descent as shown below:  Stochastic gradient descent: A single training example is used for the calculation of gradient and for updating parameters. Batch gradient descent: Gradient is calculated for the entire dataset, and parameters are updated at every iteration. Mini-batch gradient descent: Samples are broken down into smaller-sized batches and then worked on as in the case of stochastic gradient descent.  There are three variants of gradient descent as shown below: Stochastic gradient descent: A single training example is used for the calculation of gradient and for updating parameters. Batch gradient descent: Gradient is calculated for the entire dataset, and parameters are updated at every iteration. Mini-batch gradient descent: Samples are broken down into smaller-sized batches and then worked on as in the case of stochastic gradient descent. ",descent gradient variant
187,  Why is mini-batch gradient descent so popular?,Mini-batch gradient descent is popular as:  It is more efficient when compared to stochastic gradient descent. Generalization is done by finding the flat minima. It helps avoid the local minima by allowing the approximation of the gradient for the entire dataset.  Mini-batch gradient descent is popular as: It is more efficient when compared to stochastic gradient descent. Generalization is done by finding the flat minima. It helps avoid the local minima by allowing the approximation of the gradient for the entire dataset. ,batch descent gradient mini popular
188,  What are deep autoencoders?,"Deep autoencoders are an extension of the regular autoencoders. Here, the first layer is responsible for the first-order function execution of the input. The second layer will take care of the second-order functions, and it goes on. Usually, a deep autoencoder is a combination of two or more symmetrical deep-belief networks where:  The first five shallow layers consist of the encoding part The other layers take care of the decoding part  On the next set of Deep Learning questions, let us look further into the topic. Deep autoencoders are an extension of the regular autoencoders. Here, the first layer is responsible for the first-order function execution of the input. The second layer will take care of the second-order functions, and it goes on.Usually, a deep autoencoder is a combination of two or more symmetrical deep-belief networks where: The first five shallow layers consist of the encoding part The other layers take care of the decoding part On the next set of Deep Learning questions, let us look further into the topic.",autoencod deep
189,  Why is the Leaky ReLU function used in Deep Learning?,"Leaky ReLU, also called LReL, is used to manage a function to allow the passing of small-sized negative values if the input value to the network is less than zero. Leaky ReLU, also called LReL, is used to manage a function to allow the passing of small-sized negative values if the input value to the network is less than zero.",deep function leaki learn relu
190,  What are some of the examples of supervised learning algorithms in Deep Learning?,There are three main supervised learning algorithms in Deep Learning:  Artificial neural networks Convolutional neural networks Recurrent neural networks  There are three main supervised learning algorithms in Deep Learning: Artificial neural networks Convolutional neural networks Recurrent neural networks ,algorithm deep exampl learn learn supervis
191,  What are some of the examples of unsupervised learning algorithms in Deep Learning?,"There are three main unsupervised learning algorithms in Deep Learning:  Autoencoders Boltzmann machines Self-organizing maps  Next up, let us look at  more neural network interview questions that will help you ace the interviews. There are three main unsupervised learning algorithms in Deep Learning: Autoencoders Boltzmann machines Self-organizing maps Next up, let us look at  more neural network interview questions that will help you ace the interviews.",algorithm deep exampl learn learn unsupervis
192,  Can we initialize the weights of a network to start from zero?,"Yes, it is possible to begin with zero initialization. However, it is not recommended to use because setting up the weights to zero initially will cause all of the neurons to produce the same output and the same gradients when performing backpropagation. This means that the network will not have the ability to learn at all due to the absence of asymmetry between each of the neurons. Yes, it is possible to begin with zero initialization. However, it is not recommended to use because setting up the weights to zero initially will cause all of the neurons to produce the same output and the same gradients when performing backpropagation. This means that the network will not have the ability to learn at all due to the absence of asymmetry between each of the neurons.",initi network start weight zero
193,  What is the meaning of valid padding and same padding in CNN?," Valid padding: It is used when there is no requirement for padding. The output matrix will have the dimensions (n – f + 1) X (n – f + 1) after convolution. Same padding: Here, padding elements are added all around the output matrix. It will have the same dimensions as the input matrix.   Valid padding: It is used when there is no requirement for padding. The output matrix will have the dimensions (n – f + 1) X (n – f + 1) after convolution. Same padding: Here, padding elements are added all around the output matrix. It will have the same dimensions as the input matrix. ",cnn pad pad valid
194,  What are some of the applications of transfer learning in Deep Learning?,"Transfer learning is a scenario where a large model is trained on a dataset with a large amount of data and this model is used on simpler datasets, thereby resulting in extremely efficient and accurate neural networks. The popular examples of transfer learning are in the case of:  BERT ResNet GPT-2 VGG-16  Transfer learning is a scenario where a large model is trained on a dataset with a large amount of data and this model is used on simpler datasets, thereby resulting in extremely efficient and accurate neural networks.The popular examples of transfer learning are in the case of: BERT ResNet GPT-2 VGG-16 ",applic deep learn learn transfer
195,  How is the transformer architecture better than RNNs in Deep Learning?,"With the use of sequential processing, programmers were up against:  The usage of high processing power The difficulty of parallel execution  This caused the rise of the transformer architecture. Here, there is a mechanism called attention mechanism, which is used to map all of the dependencies between sentences, thereby making huge progress in the case of NLP models.  With the use of sequential processing, programmers were up against: The usage of high processing power The difficulty of parallel execution This caused the rise of the transformer architecture. Here, there is a mechanism called attention mechanism, which is used to map all of the dependencies between sentences, thereby making huge progress in the case of NLP models.",architectur better deep learn rnn transform
196,  What are the steps involved in the working of an LSTM network?,There are three main steps involved in the working of an LSTM network:  The network picks up the information that it has to remember and identifies what to forget. Cell state values are updated based on Step 1. The network calculates and analyzes which part of the current state should make it to the output.  There are three main steps involved in the working of an LSTM network: The network picks up the information that it has to remember and identifies what to forget. Cell state values are updated based on Step 1. The network calculates and analyzes which part of the current state should make it to the output. ,involv lstm network step work
197,  What are the elements in TensorFlow that are programmable?,"In TensorFlow, users can program three elements:  Constants Variables Placeholders  In TensorFlow, users can program three elements: Constants Variables Placeholders ",element programm tensorflow
198,  What is the meaning of bagging and boosting in Deep Learning?,Bagging is the concept of splitting a dataset and randomly placing it into bags for training the model. Boosting is the scenario where incorrect data points are used to force the model to produce the wrong output. This is used to retrain the model and increase accuracy. Bagging is the concept of splitting a dataset and randomly placing it into bags for training the model.Boosting is the scenario where incorrect data points are used to force the model to produce the wrong output. This is used to retrain the model and increase accuracy.,bag boost deep learn
199,  What are generative adversarial networks (GANs)?,"Generative adversarial networks are used to achieve generative modeling in Deep Learning. It is an unsupervised task that involves the discovery of patterns in the input data to generate the output. The generator is used to generate new examples, while the discriminator is used to classify the examples generated by the generator. Generative adversarial networks are used to achieve generative modeling in Deep Learning. It is an unsupervised task that involves the discovery of patterns in the input data to generate the output.The generator is used to generate new examples, while the discriminator is used to classify the examples generated by the generator.",adversari gan gener network
200,  Why are generative adversarial networks (GANs) so popular?,"Generative adversarial networks are used for a variety of purposes. In the case of working with images, they have a high amount of traction and efficient working.  Creation of art: GANs are used to create artistic images, sketches, and paintings. Image enhancement: They are used to greatly enhance the resolution of the input images. Image translation: They are also used to change certain aspects, such as day to night and summer to winter, in images easily.  If you are looking forward to becoming an expert in Deep Learning, make sure to check out Intellipaat’s AI Course. With this program, you can become proficient in all of the concepts of Deep Learning and AI and earn a course certificate as well. Generative adversarial networks are used for a variety of purposes. In the case of working with images, they have a high amount of traction and efficient working. Creation of art: GANs are used to create artistic images, sketches, and paintings. Image enhancement: They are used to greatly enhance the resolution of the input images. Image translation: They are also used to change certain aspects, such as day to night and summer to winter, in images easily. ",adversari gan gener network popular
201,  Why is it necessary to introduce non-linearities in a neural network?,"Solution: otherwise, we would have a composition of linear functions, which is also a linear function, giving a linear model. A linear model has a much smaller number of parameters, and is therefore limited in the complexity it can model.",introduc linear necessari network neural non
202,  Describe two ways of dealing with the vanishing gradient problem in a neural network.,Solution:Using ReLU activation instead of sigmoid.Using Xavier initialization.,deal gradient network neural problem vanish way
203,  What are some advantages in using a CNN (convolutional neural network) rather than a DNN (dense neural network) in an image classification task?,"Solution: while both models can capture the relationship between close pixels, CNNs have the following properties:It is translation invariant — the exact location of the pixel is irrelevant for the filter.It is less likely to overfit — the typical number of parameters in a CNN is much smaller than that of a DNN.Gives us a better understanding of the model — we can look at the filters’ weights and visualize what the network “learned”.Hierarchical nature — learns patterns in by describing complex patterns using simpler ones.",advantag classif cnn convolut den dnn network network neural neural rather task
